,spec_id,partial,model_name,lr,update_num,aupr,category,n_classes
0,10.0,1.0,google/bigbird-roberta-base,1e-05,200,0.24018150272126268,Conditions to Closing,60
1,10.1,1.0,google/bigbird-roberta-base,1e-05,800,0.3124479987897028,Conditions to Closing,60
2,10.10,1.0,google/bigbird-roberta-base,5e-06,400,0.6113555706397061,Conditions to Closing,56
3,10.11,1.0,google/bigbird-roberta-base,5e-06,800,0.7691177780446682,Conditions to Closing,56
4,10.12,1.0,google/bigbird-roberta-base,1e-05,800,0.8023436163128483,Conditions to Closing,56
5,10.13,1.0,google/bigbird-roberta-base,5e-05,200,0.38291245791245787,Conditions to Closing,58
6,10.2,1.0,google/bigbird-roberta-base,5e-05,400,0.33003005696594623,Conditions to Closing,56
7,10.3,1.0,google/bigbird-roberta-base,5e-05,600,0.2984513024958938,Conditions to Closing,60
8,10.4,1.0,google/bigbird-roberta-base,1e-05,600,0.20137024999077072,Conditions to Closing,58
9,10.5,1.0,google/bigbird-roberta-base,5e-06,200,0.6267596637615084,Conditions to Closing,52
10,10.6,1.0,google/bigbird-roberta-base,5e-05,800,0.47962962962962963,Conditions to Closing,57
11,10.7,1.0,google/bigbird-roberta-base,1e-05,600,0.7338589574480836,Conditions to Closing,57
12,10.8,1.0,google/bigbird-roberta-base,5e-06,400,0.36781710472540013,Conditions to Closing,56
13,10.9,1.0,google/bigbird-roberta-base,5e-06,400,0.5911924780081487,Conditions to Closing,60
14,101,1.0,google/bigbird-roberta-base,5e-05,800,0.9851721050150011,Deal Protection and Related Provisions,61
15,102,1.0,google/bigbird-roberta-base,5e-05,600,0.954554406732437,Deal Protection and Related Provisions,29
16,103,1.0,google/bigbird-roberta-base,5e-06,800,0.5941780610987929,Deal Protection and Related Provisions,44
17,105.0,1.0,google/bigbird-roberta-base,5e-06,600,0.04776269482151835,Deal Protection and Related Provisions,62
18,105.1,1.0,google/bigbird-roberta-base,1e-05,400,0.9222222222222222,Deal Protection and Related Provisions,56
19,105.2,1.0,google/bigbird-roberta-base,5e-05,600,0.8033075941852358,Deal Protection and Related Provisions,55
20,105.3,1.0,google/bigbird-roberta-base,1e-05,800,0.7736344930789375,Deal Protection and Related Provisions,50
21,105.4,1.0,google/bigbird-roberta-base,5e-06,200,1.0,Deal Protection and Related Provisions,60
22,105.5,1.0,google/bigbird-roberta-base,1e-05,200,0.15429599640125954,Deal Protection and Related Provisions,54
